Adobe Digital Editions,General,Productive,Reading,1
Brave,General,UnProductive,Browsing,0
Brave,YouTube,SemiProductive,Browsing,0
Godot Engine,General,Productive,Game Development,0
Visual Studio Code,General,Productive,Programming,0
WhatsApp,General,UnProductive,Social Media,0
SQLiteStudio (3.4.4),General,Productive,Programming,1
Word (Product Activation Faile,General,Productive,Documetation,0
WhatsApp,General,UnProductive,Social Media,0
Opera,General,UnProductive,EntertainMent,0
NX,General,Productive,Modelling,1
Excel (Product Activation Fail,General,Productive,Excel Tabulation,0
Universal Gcode Sender (Version 2.1.2),General,Productive,CNC,0
